Date,Actual,Holiday
2013-01-22,701.772,
2013-01-23,825.759,
2013-01-24,750.778,
2013-01-25,682.767,
2013-01-26,102.822,
2013-01-27,1.718,
2013-01-28,873.455,
2013-01-29,717.09,
2013-01-30,691.836,
2013-01-31,0,
2013-02-01,744.258,
2013-02-02,78.636,
2013-02-03,1.718,
2013-02-04,805.216,
2013-02-05,641.695,
2013-02-06,605.04,
2013-02-07,565.864,
2013-02-08,600.474,
2013-02-09,82.347,
2013-02-10,0,
2013-02-11,686.935,
2013-02-12,626.88,
2013-02-13,584.912,
2013-02-14,666.919,
2013-02-15,659.645,
2013-02-16,85.811,
2013-02-17,0,
2013-02-18,834.553,
2013-02-19,703.885,
2013-02-20,754.654,
2013-02-21,699.256,
2013-02-22,704.621,
2013-02-23,79.92,
2013-02-24,0,
2013-02-25,823.708,
2013-02-26,576.745,
2013-02-27,605.358,
2013-02-28,0,
2013-03-01,703.043,
2013-03-02,82.923,
2013-03-03,0,
2013-03-04,802.778,
2013-03-05,580.541,
2013-03-06,691.101,
2013-03-07,683.838,
2013-03-08,593.517,
2013-03-09,81.62,
2013-03-10,0,
2013-03-11,783.411,
2013-03-12,715.901,
2013-03-13,809.301,
2013-03-14,677.531,
2013-03-15,687.933,
2013-03-16,86.05,
2013-03-17,0,
2013-03-18,848.891,
2013-03-19,708.684,
2013-03-20,751.843,
2013-03-21,645.171,
2013-03-22,706.916,
2013-03-23,104.204,
2013-03-24,0,
2013-03-25,916.704,
2013-03-26,633.42,
2013-03-27,847.364,
2013-03-28,721.398,
2013-03-29,464.347,
2013-03-30,58.323,
2013-03-31,0,
2013-04-01,0,
2013-04-02,774.521,
2013-04-03,668.303,
2013-04-04,714.729,
2013-04-05,600.009,
2013-04-06,81.358,
2013-04-07,0,
2013-04-08,721.771,
2013-04-09,661.961,
2013-04-10,713.652,
2013-04-11,750.339,
2013-04-12,679.478,
2013-04-13,82.899,
2013-04-14,0,
2013-04-15,765.41,
2013-04-16,629.162,
2013-04-17,640.842,
2013-04-18,665.206,
2013-04-19,734.576,
2013-04-20,79.181,
2013-04-21,0,
2013-04-22,812.426,
2013-04-23,727.444,
2013-04-24,672.974,
2013-04-25,834.77,
2013-04-26,819.07,
2013-04-27,80.393,
2013-04-28,0,
2013-04-29,822.314,
2013-04-30,0,
2013-05-01,733.405,
2013-05-02,710.085,
2013-05-03,627.356,
2013-05-04,69.093,
2013-05-05,0,
2013-05-06,695.179,
2013-05-07,599.392,
2013-05-08,767.074,
2013-05-09,0,
2013-05-10,650.666,
2013-05-11,85.566,
2013-05-12,0,
2013-05-13,964.757,
2013-05-14,694.902,
2013-05-15,702.947,
2013-05-16,681.231,
2013-05-17,653.04,
2013-05-18,83.703,
2013-05-19,0,
2013-05-20,0,
2013-05-21,965.573,
2013-05-22,751.783,
2013-05-23,785.822,
2013-05-24,707.511,
2013-05-25,71.716,
2013-05-26,0,
2013-05-27,765.302,
2013-05-28,797.337,
2013-05-29,814.397,
2013-05-30,752.109,
2013-05-31,0,
2013-06-01,85.382,
2013-06-02,0,
2013-06-03,906.873,
2013-06-04,702.136,
2013-06-05,570.703,
2013-06-06,600.628,
2013-06-07,537.707,
2013-06-08,67.23,
2013-06-09,0,
2013-06-10,815.017,
2013-06-11,717.886,
2013-06-12,753.862,
2013-06-13,696.749,
2013-06-14,672.882,
2013-06-15,63.004,
2013-06-16,0,
2013-06-17,809.096,
2013-06-18,635.278,
2013-06-19,744.902,
2013-06-20,737.745,
2013-06-21,740.489,
2013-06-22,89.592,
2013-06-23,0,
2013-06-24,902.522,
2013-06-25,668.572,
2013-06-26,785.149,
2013-06-27,630.644,
2013-06-28,710.347,
2013-06-29,96.096,
2013-06-30,0,
2013-07-01,777.537,
2013-07-02,578.889,
2013-07-03,667.626,
2013-07-04,597.384,
2013-07-05,514.561,
2013-07-06,64.291,
2013-07-07,0,
2013-07-08,663.961,
2013-07-09,615.072,
2013-07-10,699.393,
2013-07-11,654.367,
2013-07-12,607.923,
2013-07-13,86.389,
